Gestion;Mes;Nivel_de_Administracion;Institucion;Fuente_de_Financiamiento;Grupo_de_Gasto;Objeto_de_Gasto; Aprobado ; Vigente ; Ejecutado_del_Mes ; Ejecutado_Acumulado ; Saldo_Disponible ; %_de_Ejecucion,,,,,,,,
2018;Enero;Administracion Central;0001 - Congreso Nacional;11 - Tesoro Nacional;90000 - OTROS GASTOS;92100 - Gastos Corrientes del Congreso Nacional; 632250,000 ; 632250,000 ; 60214,300 ; 60214,300 ; 572035,700 ; 9.5,,,
2018;Enero;Administracion Central;0001 - Congreso Nacional;11 - Tesoro Nacional;90000 - OTROS GASTOS;92200 - Gastos de Capital del Congreso Nacional; 210750,000 ; 210750,000 ; -   ; -   ; 210750,000 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11100 - Sueldos Basicos; 244034,100 ; 244034,100 ; 15546,697 ; 15546,697 ; 228487,403 ; 6.4,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11400 - Adicionales; 60,000 ; 60,000 ; 5,000 ; 5,000 ; 55,000 ; 8.3,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11510 - Decimotercer Mes; 20286,567 ; 20286,567 ; -   ; -   ; 20286,567 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11520 - Decimocuarto Mes; 20165,567 ; 20165,567 ; -   ; -   ; 20165,567 ; -,,,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11600 - Complementos; 24638,400 ; 24638,400 ; 1805,002 ; 1805,002 ; 22833,398 ; 7.3,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11710 - Contribuciones al Instituto Nacional de Jubilaciones y Pensiones de los Empleados y Funcionarios del; 35344,078 ; 35344,078 ; 1424,123 ; 1424,123 ; 33919,955 ; 4.0,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;11750 - Contribuciones para Seguro Social; 3928,890 ; 3928,890 ; 279,800 ; 279,800 ; 3649,090 ; 7.1,,,
2018;Enero;Administracion Central;0002 - Tribunal Superior de Cuentas;11 - Tesoro Nacional;10000 - SERVICIOS PERSONALES;12100 - Sueldos Basicos; 178,400 ; 178,400 ; 29,800 ; 29,800 ; 148,600 ; 16.7,,,
